48.12651; 11.56338
48.12646; 11.56353
48.12641; 11.56368
48.12635; 11.56386
48.12631; 11.56400
48.12626; 11.56413
48.12651; 11.56328
48.12621; 11.56430
48.12616; 11.56442
48.12612; 11.56456
48.12607; 11.56472
48.12602; 11.56458
48.12603; 11.56485
48.12590; 11.56449
48.12598; 11.56500
48.12577; 11.56439
48.12565; 11.56431
48.12551; 11.56422
48.12559; 11.56363
48.12544; 11.56407
48.12549; 11.56395
48.12562; 11.56376
48.12570; 11.56382
48.12582; 11.56392
48.12594; 11.56400
48.12605; 11.56409
48.12615; 11.56416
48.12563; 11.56351
48.12630; 11.56373
48.12564; 11.56264
48.12577; 11.56273
48.12644; 11.56322
48.12630; 11.56313
48.12618; 11.56304
48.12606; 11.56295
48.12594; 11.56287
48.12583; 11.56290
48.12578; 11.56305
48.12568; 11.56337
48.12574; 11.56319
48.12583; 11.56335
48.12595; 11.56345
48.12609; 11.56355
48.12620; 11.56365
48.12545; 11.56310
48.12535; 11.56301
48.12522; 11.56293
48.12512; 11.56284
48.12504; 11.56271
48.12509; 11.56256
48.12514; 11.56240
48.12519; 11.56232
48.12529; 11.56239
48.12541; 11.56247
48.12553; 11.56256
48.12529; 11.56452
48.12534; 11.56466
48.12547; 11.56475
48.12560; 11.56485
48.12572; 11.56494
48.12553; 11.56382
48.12585; 11.56504
48.12593; 11.56509
48.12498; 11.56331
48.12510; 11.56339
48.12559; 11.56321
48.12521; 11.56348
48.12530; 11.56354
48.12541; 11.56361
48.12549; 11.56368
48.12539; 11.56423
48.12535; 11.56437
48.12493; 11.56438
48.12481; 11.56429
48.12467; 11.56419
48.12460; 11.56402
48.12465; 11.56388
48.12470; 11.56374
48.12475; 11.56358
48.12480; 11.56344
48.12484; 11.56332
48.12499; 11.56286
48.12495; 11.56300
48.12489; 11.56315
48.12484; 11.56373
48.12459; 11.56410
48.12497; 11.56381
48.12508; 11.56390
48.12521; 11.56399
48.12532; 11.56407
48.12518; 11.56455
48.12506; 11.56447
